icao,time,twil
EFHK,2022-01-01 06:28:00,1
EFHK,2022-01-01 14:20:00,0
EFHK,2022-01-02 06:27:00,1
EFHK,2022-01-02 14:22:00,0
EFHK,2022-01-03 06:27:00,1
EFHK,2022-01-03 14:23:00,0
EFHK,2022-01-04 06:26:00,1
EFHK,2022-01-04 14:24:00,0
EFHK,2022-01-05 06:26:00,1
EFHK,2022-01-05 14:26:00,0
EFHK,2022-01-06 06:25:00,1
EFHK,2022-01-06 14:27:00,0
EFHK,2022-01-07 06:25:00,1
EFHK,2022-01-07 14:29:00,0
EFHK,2022-01-08 06:24:00,1
EFHK,2022-01-08 14:31:00,0
EFHK,2022-01-09 06:23:00,1
EFHK,2022-01-09 14:32:00,0
EFHK,2022-01-10 06:22:00,1
EFHK,2022-01-10 14:34:00,0
EFHK,2022-01-11 06:21:00,1
EFHK,2022-01-11 14:36:00,0
EFHK,2022-01-12 06:20:00,1
EFHK,2022-01-12 14:38:00,0
EFHK,2022-01-13 06:19:00,1
EFHK,2022-01-13 14:39:00,0
EFHK,2022-01-14 06:18:00,1
EFHK,2022-01-14 14:41:00,0
EFHK,2022-01-15 06:17:00,1
EFHK,2022-01-15 14:43:00,0
EFHK,2022-01-16 06:15:00,1
EFHK,2022-01-16 14:45:00,0
EFHK,2022-01-17 06:14:00,1
EFHK,2022-01-17 14:47:00,0
EFHK,2022-01-18 06:13:00,1
EFHK,2022-01-18 14:49:00,0
EFHK,2022-01-19 06:11:00,1
EFHK,2022-01-19 14:51:00,0
EFHK,2022-01-20 06:10:00,1
EFHK,2022-01-20 14:54:00,0
EFHK,2022-01-21 06:08:00,1
EFHK,2022-01-21 14:56:00,0
EFHK,2022-01-22 06:06:00,1
EFHK,2022-01-22 14:58:00,0
EFHK,2022-01-23 06:05:00,1
EFHK,2022-01-23 15:00:00,0
EFHK,2022-01-24 06:03:00,1
EFHK,2022-01-24 15:02:00,0
EFHK,2022-01-25 06:01:00,1
EFHK,2022-01-25 15:05:00,0
EFHK,2022-01-26 05:59:00,1
EFHK,2022-01-26 15:07:00,0
EFHK,2022-01-27 05:58:00,1
EFHK,2022-01-27 15:09:00,0
EFHK,2022-01-28 05:56:00,1
EFHK,2022-01-28 15:11:00,0
EFHK,2022-01-29 05:54:00,1
EFHK,2022-01-29 15:14:00,0
EFHK,2022-01-30 05:52:00,1
EFHK,2022-01-30 15:16:00,0
EFHK,2022-01-31 05:50:00,1
EFHK,2022-01-31 15:18:00,0
EFHK,2022-02-01 05:48:00,1
EFHK,2022-02-01 15:21:00,0
EFHK,2022-02-02 05:46:00,1
EFHK,2022-02-02 15:23:00,0
EFHK,2022-02-03 05:43:00,1
EFHK,2022-02-03 15:25:00,0
EFHK,2022-02-04 05:41:00,1
EFHK,2022-02-04 15:28:00,0
EFHK,2022-02-05 05:39:00,1
EFHK,2022-02-05 15:30:00,0
EFHK,2022-02-06 05:37:00,1
EFHK,2022-02-06 15:33:00,0
EFHK,2022-02-07 05:34:00,1
EFHK,2022-02-07 15:35:00,0
EFHK,2022-02-08 05:32:00,1
EFHK,2022-02-08 15:38:00,0
EFHK,2022-02-09 05:30:00,1
